Candidate,State,District,Office Type,Race,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?
Miguel Levario,TX,U.S. House Texas District 19,Representative,Nonwhite,Regular,3/6/2018,Advanced,None,On the Ballot,-51.43,100,Yes,No,No,No,No,No,No,,,,,,,,,,,,,
Todd Litton,TX,U.S. House Texas District 2,Representative,White,Regular,3/6/2018,Advanced,None,On the Ballot,-16.33,52.810001,Yes,No,No,No,No,No,No,,,,,,,No,No,,,,,
Joseph Kopser,TX,U.S. House Texas District 21,Representative,White,Regular,3/6/2018,Advanced,Advanced,On the Ballot,-15.51,29.030001,Yes,Yes,No,No,No,Yes,No,,,Yes,,,,No,No,,,,Yes,
Sri Preston Kulkarni,TX,U.S. House Texas District 22,Representative,Nonwhite,Regular,3/6/2018,Advanced,Advanced,On the Ballot,-14.81,31.85,Yes,No,No,No,No,No,No,,,Yes,,,,No,No,,,,,
Gina Ortiz Jones,TX,U.S. House Texas District 23,Representative,Nonwhite,Regular,3/6/2018,Advanced,Advanced,On the Ballot,-0.63,41.560001,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,,,,No,No,,,,Yes,
Jan McDowell,TX,U.S. House Texas District 24,Representative,White,Regular,3/6/2018,Advanced,None,On the Ballot,-12.78,52.470001,Yes,No,No,No,No,No,No,,,Yes,,,,,,,,,,
Julie Oliver,TX,U.S. House Texas District 25,Representative,White,Regular,3/6/2018,Advanced,Advanced,On the Ballot,-19.23,26.440001,Yes,No,No,No,No,No,No,,,Yes,,,,No,,,No,,,
Linsey Fagan,TX,U.S. House Texas District 26,Representative,White,Regular,3/6/2018,Advanced,None,On the Ballot,-31.629999,52.66,Yes,No,No,No,No,No,No,,,,,,,Yes,Yes,,,,,
Eric Holguin,TX,U.S. House Texas District 27,Representative,Nonwhite,Regular,3/6/2018,Advanced,Advanced,On the Ballot,-25.809999,23.299999,Yes,No,Yes,No,No,No,No,,,,,,,Yes,,,,,,
Sylvia Garcia,TX,U.S. House Texas District 29,Representative,Nonwhite,Regular,3/6/2018,Advanced,None,On the Ballot,39.970001,63.259998,Yes,No,No,Yes,No,No,No,,Yes,,,,,No,,,,,,
Lorie Burch,TX,U.S. House Texas District 3,Representative,White,Regular,3/6/2018,Advanced,Advanced,On the Ballot,-20.709999,49.610001,Yes,No,Yes,No,No,No,No,,,No,,,,,Yes,,,,,
M.J. Hegar,TX,U.S. House Texas District 31,Representative,White,Regular,3/6/2018,Advanced,Advanced,On the Ballot,-17.379999,44.93,Yes,Yes,No,No,No,No,No,,,No,,,,No,,,,,,
Colin Allred,TX,U.S. House Texas District 32,Representative,Nonwhite,Regular,3/6/2018,Advanced,Advanced,On the Ballot,-4.98,38.43,Yes,No,No,No,No,No,Yes,Yes,No,Yes,,,,,,,,,,
Dayna Steele,TX,U.S. House Texas District 36,Representative,White,Regular,3/6/2018,Advanced,None,On the Ballot,-49.509998,72,Yes,No,No,No,No,No,No,,,,,,,Yes,,,Yes,,,
Catherine Krantz,TX,U.S. House Texas District 4,Representative,White,Regular,3/6/2018,Advanced,None,On the Ballot,-55.029999,68.620003,Yes,No,No,No,No,No,No,,,,,,,,,,,,,
Dan Wood,TX,U.S. House Texas District 5,Representative,White,Regular,3/6/2018,Advanced,None,On the Ballot,-31.360001,100,Yes,No,No,Yes,No,No,No,,,,,,,,,,,,,
Jana Lynne Sanchez,TX,U.S. House Texas District 6,Representative,Nonwhite,Regular,3/6/2018,Advanced,Advanced,On the Ballot,-16.030001,36.900002,Yes,No,No,No,No,No,No,,,,,,,No,,,,,,
Lizzie Pannill Fletcher,TX,U.S. House Texas District 7,Representative,White,Regular,3/6/2018,Advanced,Advanced,On the Ballot,-6.8099999,29.360001,Yes,No,No,No,No,No,No,,Yes,,,,,No,No,,,No,,
Steven David,TX,U.S. House Texas District 8,Representative,White,Regular,3/6/2018,Advanced,None,On the Ballot,-52.959999,100,Yes,No,No,No,No,No,No,,,,,,,,,,,,,
Beto O'Rourke,TX,U.S. Senate Texas,Senator,White,Regular,3/6/2018,Advanced,None,On the Ballot,-13.23,61.810001,Yes,No,No,Yes,No,No,No,,,,,,,,,,Yes,,,
Lee Castillo,UT,U.S. House Utah District 1,Representative,Nonwhite,Regular,6/26/2018,Advanced,None,On the Ballot,-37.259998,56.849998,Yes,No,Yes,No,No,No,No,,,,,,,,,,,,,
Shireen Ghorbani,UT,U.S. House Utah District 2,Representative,Nonwhite,Regular,6/26/2018,Advanced,None,On the Ballot,-22.73,100,Yes,No,No,No,No,No,No,,,,,,,,,,,,,
James Singer,UT,U.S. House Utah District 3,Representative,Nonwhite,Regular,6/26/2018,Advanced,None,On the Ballot,-35.16,100,Yes,No,No,No,No,No,No,,,,,,,,,,,,,
Ben McAdams,UT,U.S. House Utah District 4,Representative,White,Regular,6/26/2018,Advanced,None,On the Ballot,-16.809999,100,Yes,No,No,Yes,No,No,No,Yes,,,,,,,,,,,,
Jenny Wilson,UT,U.S. Senate Utah,Senator,White,Regular,6/26/2018,Advanced,None,On the Ballot,-28.1,100,Yes,No,No,Yes,No,No,No,,,,,,,,,,,,,
Vangie Williams,VA,U.S. House Virginia District 1,Representative,Nonwhite,Regular,6/12/2018,Advanced,None,On the Ballot,-14.81,39.970001,Yes,No,No,No,No,No,No,,,Yes,,,,No,,,,,,
Jennifer Wexton,VA,U.S. House Virginia District 10,Representative,White,Regular,6/12/2018,Advanced,None,On the Ballot,4.6900001,41.889999,Yes,No,No,Yes,No,No,No,,,Yes,,,,No,,,,,No,
Elaine Luria,VA,U.S. House Virginia District 2,Representative,White,Regular,6/12/2018,Advanced,None,On the Ballot,-5.6599998,62.330002,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,,,,,,,,No,Yes,
Leslie Cockburn,VA,U.S. House Virginia District 5,Representative,White,Regular,6/12/2018,Advanced,None,On the Ballot,-12.51,100,Yes,No,No,No,No,No,No,,Yes,,,,,,,,,,,
Jennifer Lewis,VA,U.S. House Virginia District 6,Representative,White,Regular,6/12/2018,Advanced,None,On the Ballot,-25.959999,47.669998,Yes,No,No,No,No,No,No,,,Yes,,,,Yes,,,,,,
Abigail Spanberger,VA,U.S. House Virginia District 7,Representative,White,Regular,6/12/2018,Advanced,None,On the Ballot,-10.03,72.68,Yes,No,No,No,No,No,No,,Yes,Yes,,,,,,,,,No,
Anthony Flaccavento,VA,U.S. House Virginia District 9,Representative,White,Regular,6/12/2018,Advanced,None,On the Ballot,-40.709999,78.639999,Yes,No,No,No,No,No,No,,,,,,,Yes,,,,,,
Carolyn Long,WA,U.S. House Washington District 3,Representative,White,Regular,8/7/2018,Advanced,None,On the Ballot,-8.5100002,,Yes,No,No,No,No,No,No,,Yes,Yes,,,,No,No,,Yes,,,
Christine Brown,WA,U.S. House Washington District 4,Representative,White,Regular,8/7/2018,Advanced,None,On the Ballot,-25.08,,Yes,No,No,No,No,Yes,No,,,,,,,,,,,,,
Lisa Brown,WA,U.S. House Washington District 5,Representative,White,Regular,8/7/2018,Advanced,None,On the Ballot,-14.81,,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,,,,,,,Yes,,,
Kim Schrier,WA,U.S. House Washington District 8,Representative,White,Regular,8/7/2018,Advanced,None,On the Ballot,0.12,,Yes,No,No,No,No,Yes,No,,Yes,Yes,,,,No,,,No,,,
Kendra Fershee,WV,U.S. House West Virginia District 1,Representative,White,Regular,5/8/2018,Advanced,None,On the Ballot,-40.41,47.240002,Yes,No,No,No,No,No,No,,,,,,,,,,,,,
Talley Sergent,WV,U.S. House West Virginia District 2,Representative,White,Regular,5/8/2018,Advanced,None,On the Ballot,-35.330002,62.57,Yes,No,No,No,No,No,Yes,,,,,,,,,,,,No,
Richard Ojeda,WV,U.S. House West Virginia District 3,Representative,Nonwhite,Regular,5/8/2018,Advanced,None,On the Ballot,-47.48,52.16,Yes,Yes,No,Yes,No,No,No,,,,,,,,,,,Yes,Yes,
