Candidate,State,District,Office Type,Race,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?
Phillip Price,NC,U.S. House North Carolina District 11,Representative,White,Regular,5/8/2018,Advanced,None,On the Ballot,-29.559999,40.59,Yes,No,No,No,No,No,No,,,Yes,,,,,,,,,,
Kathy Manning,NC,U.S. House North Carolina District 13,Representative,White,Regular,5/8/2018,Advanced,None,On the Ballot,-11.28,70.139999,Yes,No,No,No,No,No,No,Yes,Yes,No,,,,,,,,,,
Linda Coleman,NC,U.S. House North Carolina District 2,Representative,Nonwhite,Regular,5/8/2018,Advanced,None,On the Ballot,-12.98,56,Yes,No,No,Yes,No,No,No,,,Yes,,,,,,,,,,
Denise Adams,NC,U.S. House North Carolina District 5,Representative,Nonwhite,Regular,5/8/2018,Advanced,None,On the Ballot,-19.280001,54.400002,Yes,No,No,Yes,No,No,No,,,No,,,,,No,,,Yes,,
Ryan Watts,NC,U.S. House North Carolina District 6,Representative,White,Regular,5/8/2018,Advanced,None,On the Ballot,-16.73,77.199997,Yes,No,No,No,No,No,No,,,Yes,,,,,,,Yes,,,
Kyle Horton,NC,U.S. House North Carolina District 7,Representative,White,Regular,5/8/2018,Advanced,None,On the Ballot,-18.98,67,Yes,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,
Frank McNeill,NC,U.S. House North Carolina District 8,Representative,White,Regular,5/8/2018,Advanced,None,On the Ballot,-16.360001,56.099998,Yes,No,No,No,No,No,No,,,No,,,,,,,,,,
Dan McCready,NC,U.S. House North Carolina District 9,Representative,White,Regular,5/8/2018,Advanced,None,On the Ballot,-14.13,82.800003,Yes,Yes,No,No,No,No,No,Yes,,,,,,,,,Yes,,Yes,
Mac Schneider,ND,U.S. House North Dakota At-large District,Representative,,Regular,6/12/2018,Advanced,None,On the Ballot,-34.779999,100,Yes,No,No,Yes,No,No,No,,,,,,,,,,,,,
Jessica McClure,NE,U.S. House Nebraska District 1,Representative,,Regular,5/15/2018,Advanced,None,On the Ballot,-22.66,66.099998,Yes,No,No,No,No,Yes,No,,,Yes,,,,,,,,No,,
Kara Eastman,NE,U.S. House Nebraska District 2,Representative,,Regular,5/15/2018,Advanced,None,On the Ballot,-5.98,51.639999,Yes,No,No,No,No,No,No,No,,Yes,,,,,Yes,Yes,,Yes,,
Paul Theobald,NE,U.S. House Nebraska District 3,Representative,,Regular,5/15/2018,Advanced,None,On the Ballot,-54.310001,100,Yes,No,No,No,No,No,No,,,,,,,,,,,,,
Jane Raybould,NE,U.S. Senate Nebraska,Senator,,Regular,5/15/2018,Advanced,None,On the Ballot,-26.76,63.68,Yes,No,No,Yes,No,No,No,,,,,,,,,,,,,
Mikie Sherrill,NJ,U.S. House New Jersey District 11,Representative,,Regular,6/5/2018,Advanced,None,On the Ballot,-4.6599998,77.5,Yes,Yes,No,No,No,No,No,Yes,Yes,,Yes,,,,,,,,Yes,
Jeff Van Drew,NJ,U.S. House New Jersey District 2,Representative,White,Regular,6/5/2018,Advanced,None,On the Ballot,-3.96,55.400002,Yes,No,No,Yes,No,No,No,Yes,,,,,,,,,No,,,
Andrew Kim,NJ,U.S. House New Jersey District 3,Representative,Nonwhite,Regular,6/5/2018,Advanced,None,On the Ballot,-6.0300002,100,Yes,No,No,No,No,No,Yes,Yes,,,Yes,,,,,Yes,,Yes,,
Josh Welle,NJ,U.S. House New Jersey District 4,Representative,,Regular,6/5/2018,Advanced,None,On the Ballot,-16.01,57.200001,Yes,Yes,No,No,No,No,No,,,,,,,No,,,,No,,
Tom Malinowski,NJ,U.S. House New Jersey District 7,Representative,,Regular,6/5/2018,Advanced,None,On the Ballot,-3.26,66.800003,Yes,No,No,No,No,No,Yes,Yes,,,Yes,,,No,No,,,,,
Debra Haaland,NM,U.S. House New Mexico District 1,Representative,Nonwhite,Regular,6/5/2018,Advanced,None,On the Ballot,13.77,40.59,Yes,No,No,No,No,No,Yes,,Yes,No,,Yes,,No,No,,,No,No,No
Xochitl Torres Small,NM,U.S. House New Mexico District 2,Representative,Nonwhite,Regular,6/5/2018,Advanced,None,On the Ballot,-11.88,72.620003,Yes,No,No,No,No,No,No,Yes,Yes,,,,,No,,,,,,
Clint Koble,NV,U.S. House Nevada District 2,Representative,,Regular,6/12/2018,Advanced,None,On the Ballot,-13.78,26.129999,Yes,No,No,No,No,No,No,,,Yes,,,,No,,,,,,
Susie Lee,NV,U.S. House Nevada District 3,Representative,,Regular,6/12/2018,Advanced,None,On the Ballot,-3.0799999,66.910004,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,,,,,,,
Steven Horsford,NV,U.S. House Nevada District 4,Representative,Nonwhite,Regular,6/12/2018,Advanced,None,On the Ballot,3.8199999,61.740002,Yes,No,No,Yes,No,No,No,Yes,,Yes,Yes,,,No,No,,,,,
